AvgClickPosition,AvgImpressionPosition,Clicks,Date,Impressions,Query,__type
-1,4,13,/Date(1773990000000-0700)/,270,https://serenfermera.com/plan-de-cuidados-enfermeria-ejemplopaso-a-paso/,QueryStats:#Microsoft.Bing.Webmaster.Api
-1,4,12,/Date(1773990000000-0700)/,371,https://serenfermera.com/cuidados-de-enfermeria-oms/,QueryStats:#Microsoft.Bing.Webmaster.Api
-1,3,11,/Date(1773990000000-0700)/,101,https://serenfermera.com/temas-de-salud-de-enfermeria/,QueryStats:#Microsoft.Bing.Webmaster.Api
-1,4,11,/Date(1773990000000-0700)/,79,https://serenfermera.com/cuidado-humanizado-en-enfermeria/,QueryStats:#Microsoft.Bing.Webmaster.Api
-1,5,10,/Date(1773990000000-0700)/,119,https://serenfermera.com/principios-eticos-en-enfermeria/,QueryStats:#Microsoft.Bing.Webmaster.Api
-1,3,8,/Date(1773990000000-0700)/,91,https://serenfermera.com/valores-profesionales-de-enfermeria/,QueryStats:#Microsoft.Bing.Webmaster.Api
-1,3,6,/Date(1773990000000-0700)/,69,https://serenfermera.com/define-signo-y-sontomas-y-ejemplos-de-auxiliar-de-enfermeria/,QueryStats:#Microsoft.Bing.Webmaster.Api
-1,4,5,/Date(1773990000000-0700)/,90,https://serenfermera.com/que-es-el-cuidado-de-la-enfermeria-definicion/,QueryStats:#Microsoft.Bing.Webmaster.Api
-1,2,5,/Date(1773990000000-0700)/,25,https://serenfermera.com/trabajo-en-equipo-en-enfermeria/,QueryStats:#Microsoft.Bing.Webmaster.Api
-1,6,5,/Date(1773990000000-0700)/,24,https://serenfermera.com/cuidados-de-enfermeria-al-paciente-con-dolor/,QueryStats:#Microsoft.Bing.Webmaster.Api
-1,7,4,/Date(1773990000000-0700)/,213,https://serenfermera.com/plan-de-cuidados-de-enfermeria-postoperatorio/,QueryStats:#Microsoft.Bing.Webmaster.Api
-1,5,4,/Date(1773990000000-0700)/,172,https://serenfermera.com/ejemplo-calculo-balance-hidrico-auxiliar-enfermeria/,QueryStats:#Microsoft.Bing.Webmaster.Api
-1,6,4,/Date(1773990000000-0700)/,163,https://serenfermera.com/cuidados-de-enfermeria-toma-de-signos-vitales/,QueryStats:#Microsoft.Bing.Webmaster.Api
-1,6,4,/Date(1773990000000-0700)/,149,https://serenfermera.com/proceso-salud-enfermedad-en-enfermeria/,QueryStats:#Microsoft.Bing.Webmaster.Api
-1,6,4,/Date(1773990000000-0700)/,61,https://serenfermera.com/cuidados-paliativos-enfermo-terminal-enfermeria/,QueryStats:#Microsoft.Bing.Webmaster.Api
-1,6,4,/Date(1773990000000-0700)/,49,https://serenfermera.com/cuidados-de-enfermeria-en-dialisis-y-hemodialisis/,QueryStats:#Microsoft.Bing.Webmaster.Api
-1,2,4,/Date(1773990000000-0700)/,9,https://serenfermera.com/drenaje-percutaneo-cuidados-de-enfermeria/,QueryStats:#Microsoft.Bing.Webmaster.Api
-1,6,3,/Date(1773990000000-0700)/,171,https://serenfermera.com/tecnicas-basicas-enfermeria-movilizacion-paciente/,QueryStats:#Microsoft.Bing.Webmaster.Api
-1,6,3,/Date(1773990000000-0700)/,105,https://serenfermera.com/cuidados-de-enfermeria-cambios-posturales/,QueryStats:#Microsoft.Bing.Webmaster.Api
-1,6,3,/Date(1773990000000-0700)/,85,https://serenfermera.com/cuidados-de-enfermeria-en-el-paciente-quirurgico-transoperatorio/,QueryStats:#Microsoft.Bing.Webmaster.Api
-1,5,3,/Date(1773990000000-0700)/,82,https://serenfermera.com/funciones-procedimientos-y-tareas-auxiliar-enfermeria/,QueryStats:#Microsoft.Bing.Webmaster.Api
-1,4,3,/Date(1773990000000-0700)/,56,https://serenfermera.com/cuidados-de-enfermeria-en-el-puerperio/,QueryStats:#Microsoft.Bing.Webmaster.Api
-1,5,3,/Date(1773990000000-0700)/,54,https://serenfermera.com/funciones-y-tecnicas-asistenciales-del-personal-de-enfermeria-atencion-primari/,QueryStats:#Microsoft.Bing.Webmaster.Api
-1,6,3,/Date(1773990000000-0700)/,41,https://serenfermera.com/plantillas-salud-enfermeria-gratis/,QueryStats:#Microsoft.Bing.Webmaster.Api
-1,4,3,/Date(1773990000000-0700)/,40,https://serenfermera.com/dilema-etico-en-ejemplos-de-enfermeria/,QueryStats:#Microsoft.Bing.Webmaster.Api
-1,4,3,/Date(1773990000000-0700)/,34,https://serenfermera.com/cualidades-de-una-buena-enfermera/,QueryStats:#Microsoft.Bing.Webmaster.Api
-1,3,3,/Date(1773990000000-0700)/,25,https://serenfermera.com/enfermeria-en-salud-ocupacional/,QueryStats:#Microsoft.Bing.Webmaster.Api
-1,4,3,/Date(1773990000000-0700)/,22,https://serenfermera.com/estilos-de-liderazgo-en-enfermeria/,QueryStats:#Microsoft.Bing.Webmaster.Api
-1,5,3,/Date(1773990000000-0700)/,15,https://serenfermera.com/mantenimiento-y-proteccion-de-salud-obligacion-de-enfermeria/,QueryStats:#Microsoft.Bing.Webmaster.Api
-1,3,3,/Date(1773990000000-0700)/,12,https://serenfermera.com/enfermeria-en-salud-publica-definicion/,QueryStats:#Microsoft.Bing.Webmaster.Api
-1,4,3,/Date(1773990000000-0700)/,8,https://serenfermera.com/arritmia-cardiaca-cuidados-de-enfermeria/,QueryStats:#Microsoft.Bing.Webmaster.Api
-1,5,2,/Date(1773990000000-0700)/,116,https://serenfermera.com/via-topica-cuidados-de-enfermeria/,QueryStats:#Microsoft.Bing.Webmaster.Api
-1,5,2,/Date(1773990000000-0700)/,112,https://serenfermera.com/curso-fuden-tablon-en-blanco-cuidados-de-enfermeria-en-urgenciaw/,QueryStats:#Microsoft.Bing.Webmaster.Api
-1,7,2,/Date(1773990000000-0700)/,79,https://serenfermera.com/hoja-de-cuidados-de-enfermeria/,QueryStats:#Microsoft.Bing.Webmaster.Api
-1,6,2,/Date(1773990000000-0700)/,78,https://serenfermera.com/ejemplos-de-enfermeria-sbar/,QueryStats:#Microsoft.Bing.Webmaster.Api
-1,4,2,/Date(1773990000000-0700)/,76,https://serenfermera.com/enfermeria-cuidado-integral-defiicion/,QueryStats:#Microsoft.Bing.Webmaster.Api
-1,6,2,/Date(1773990000000-0700)/,50,https://serenfermera.com/cuidados-de-enfermeria-en-la-unidad-quirurgica/,QueryStats:#Microsoft.Bing.Webmaster.Api
