"URL","Impressions","Clicks","Last crawled","Discovered on","HTTP code","Document size","Backlinks"
"https://serenfermera.com/principios-eticos-en-enfermeria","3404","201","2026-04-09","2022-09-28","304","259945","0"
"https://serenfermera.com/valores-profesionales-de-enfermeria","2145","199","2026-04-03","2022-09-28","200","102390","0"
"https://serenfermera.com/enfermeria-en-salud-ocupacional","1883","121","2026-04-06","2023-10-17","304","65737","0"
"https://serenfermera.com/enfermeria-cuidado-integral-defiicion","2320","109","2026-04-06","2023-10-30","304","67209","0"
"https://serenfermera.com/estilos-de-liderazgo-en-enfermeria","727","98","2026-04-04","2022-09-25","200","119568","0"
"https://serenfermera.com/trabajo-en-equipo-en-enfermeria","1070","80","2026-04-05","2022-09-15","304","98798","0"
"https://serenfermera.com/15-cosas-que-todo-estudiante-de-enfermeria-debe-saber","1098","79","2026-04-08","2020-03-09","200","63333","0"
"https://serenfermera.com/cualidades-de-una-buena-enfermera","1295","75","2026-04-08","2022-09-18","200","147247","0"
"https://serenfermera.com/negligencia-en-ejemplos-de-enfermeria","878","69","2026-04-08","2022-09-28","304","118402","0"
"https://serenfermera.com/venoclisis-cuidados-de-enfermeria","6154","66","2026-04-04","2023-11-06","304","66202","0"
"https://serenfermera.com/edema-cuidados-de-enfermeria","1098","54","2026-04-07","2023-10-25","304","64698","0"
"https://serenfermera.com/datos-de-enfermeria-subjetivos-vs-objetivo","2474","48","2026-04-07","2022-09-03","200","147338","0"
"https://serenfermera.com/cuidados-de-enfermeria-para-nebulizaciones","901","45","2026-04-07","2023-10-14","200","67247","0"
"https://serenfermera.com/cuidados-de-enfermeria-en-pacientes-con-cancer","1179","44","2026-04-07","2023-10-26","200","65914","0"
"https://serenfermera.com/tecnica-para-toma-de-papanicolaou-enfermeria","746","42","2026-04-07","2023-09-19","304","66664","0"
"https://serenfermera.com/competencia-cultural-en-enfermeria","708","38","2026-04-04","2022-09-27","200","146483","0"
"https://serenfermera.com/ejemplos-de-enfermeria-sbar","2989","37","2026-04-08","2022-09-29","304","158530","0"
"https://serenfermera.com/histerectomia-cuidados-de-enfermeria-postoperatorios","721","37","2026-04-07","2023-08-24","304","66188","0"
"https://serenfermera.com/cuidados-de-enfermeria-en-el-postoperatorio-inmediato","1031","35","2026-04-08","2023-11-09","304","67371","0"
"https://serenfermera.com/protocolo-cuidados-paliativos-enfermeria","755","32","2026-04-08","2023-09-05","304","65984","0"
"https://serenfermera.com/educacion-para-la-salud-en-enfermeria-formacion","635","32","2026-03-28","2023-10-23","200","67283","0"
"https://serenfermera.com/planes-de-cuidado-de-enfermeria-en-pediatria","605","30","2026-03-31","2023-09-08","200","66822","0"
"https://serenfermera.com/cuidados-de-enfermeria-al-paciente-con-dolor","839","29","2026-04-05","2023-10-13","200","66092","0"
"https://serenfermera.com/cronograma-modelos-de-cuidados-enfermeria","719","29","2026-03-31","2023-09-02","304","65868","0"
"https://serenfermera.com/actividades-de-enfermeria-en-centro-de-salud","839","28","2026-04-06","2023-10-18","200","65504","0"
"https://serenfermera.com/cuidados-de-enfermeria-demencia","279","28","2026-04-07","2023-11-06","200","66641","0"
"https://serenfermera.com/plan-de-cuidados-enfermeria-duelo","655","28","2026-04-07","2023-10-13","200","66462","0"
"https://serenfermera.com/9-divertidos-y-educativos-juegos-de-enfermeria","259","27","2026-04-04","2020-06-11","304","54690","0"
"https://serenfermera.com/como-hacer-una-hoja-de-cuidados-de-enfermeria","2431","27","2026-04-07","2023-10-20","200","66207","0"
"https://serenfermera.com/auxiliar-de-enfermeria-colombia","450","26","2026-04-07","2023-09-18","200","66465","0"
"https://serenfermera.com/cuidados-en-la-adolescencia-cto-enfermeria","1616","25","2026-04-06","2023-11-01","200","65832","0"
"https://serenfermera.com/lavado-gastrico-tecnica-enfermeria","1297","25","2026-04-04","2023-09-01","200","65331","0"
"https://serenfermera.com/practica-basada-en-evidencia-en-ejemplos-de-enfermeria","502","24","2026-04-08","2022-09-13","200","145810","0"
"https://serenfermera.com/10-cuidados-de-enfermeria-en-diabetes","685","24","2026-04-08","2023-11-11","304","57464","0"
"https://serenfermera.com/cuidados-de-enfermeria-heparina","235","24","2026-04-09","2023-10-13","304","66535","0"
"https://serenfermera.com/cuidados-enfermeria-pediatricos-en-cirugia","519","22","2026-04-07","2023-09-18","304","67832","0"
"https://serenfermera.com/cuidados-de-enfermeria-en-cateteres","701","22","2026-04-08","2023-09-18","200","66367","0"
"https://serenfermera.com/cuidados-de-enfermeria-en-deterioro-de-la-movilidad-fisica","706","22","2026-03-15","2023-09-05","200","67611","0"
